customer_key,customer_id,customer_number,firstname,lastname,gender,birthdate,marital_status,country,create_date
1,11000,AW00011000,Jon,Yang,Male,1971-10-06,Married,Australia,2025-10-06
2,11001,AW00011001,Eugene,Huang,Male,1976-05-10,Single,Australia,2025-10-06
3,11002,AW00011002,Ruben,Torres,Male,1971-02-09,Married,Australia,2025-10-06
4,11003,AW00011003,Christy,Zhu,Female,1973-08-14,Single,Australia,2025-10-06
5,11004,AW00011004,Elizabeth,Johnson,Female,1979-08-05,Single,Australia,2025-10-06
6,11005,AW00011005,Julio,Ruiz,Male,1976-08-01,Single,Australia,2025-10-06
7,11006,AW00011006,Janet,Alvarez,Female,1976-12-02,Single,Australia,2025-10-06
8,11007,AW00011007,Marco,Mehta,Male,1969-11-06,Married,Australia,2025-10-06
9,11008,AW00011008,Rob,Verhoff,Female,1975-07-04,Single,Australia,2025-10-06
10,11009,AW00011009,Shannon,Carlson,Male,1969-09-29,Single,Australia,2025-10-06
11,11010,AW00011010,Jacquelyn,Suarez,Female,1969-08-05,Single,Australia,2025-10-06
12,11011,AW00011011,Curtis,Lu,Male,1969-05-03,Married,Australia,2025-10-06
13,11012,AW00011012,Lauren,Walker,Female,1979-01-14,Married,United States,2025-10-06
14,11013,AW00011013,Ian,Jenkins,Male,1979-08-03,Married,United States,2025-10-06
15,11014,AW00011014,Sydney,Bennett,Female,1973-11-06,Single,United States,2025-10-06
16,11015,AW00011015,Chloe,Young,Female,1984-08-26,Single,United States,2025-10-06
17,11016,AW00011016,Wyatt,Hill,Male,1984-10-25,Married,United States,2025-10-07
18,11017,AW00011017,Shannon,Wang,Female,1949-12-24,Single,Australia,2025-10-07
19,11018,AW00011018,Clarence,Rai,Male,1955-10-06,Single,Australia,2025-10-07
20,11019,AW00011019,Luke,Lal,Male,1983-09-04,Single,Canada,2025-10-07
21,11020,AW00011020,Jordan,King,Male,1984-03-19,Single,Canada,2025-10-07
22,11021,AW00011021,Destiny,Wilson,Female,1984-03-02,Single,United States,2025-10-07
23,11022,AW00011022,Ethan,Zhang,Male,1984-04-10,Married,United States,2025-10-07
24,11023,AW00011023,Seth,Edwards,Male,1984-04-09,Married,United States,2025-10-07
25,11024,AW00011024,Russell,Xie,Male,1984-03-16,Married,United States,2025-10-07
26,11025,AW00011025,Alejandro,Beck,Male,1951-06-22,Married,Australia,2025-10-07
27,11026,AW00011026,Harold,Sai,Male,1951-10-01,Single,Australia,2025-10-07
28,11027,AW00011027,Jessie,Zhao,Male,1952-06-05,Married,Australia,2025-10-07
29,11028,AW00011028,Jill,Jimenez,Female,1951-10-09,Married,Australia,2025-10-07
30,11029,AW00011029,Jimmy,Moreno,Male,1952-06-19,Married,Australia,2025-10-07
31,11030,AW00011030,Bethany,Yuan,Female,1958-02-18,Married,Australia,2025-10-07
32,11031,AW00011031,Theresa,Ramos,Female,1953-02-18,Married,Australia,2025-10-07
33,11032,AW00011032,Denise,Stone,Female,1952-12-08,Married,Australia,2025-10-07
34,11033,AW00011033,Jaime,Nath,Male,1958-09-19,Married,Australia,2025-10-07
35,11034,AW00011034,Ebony,Gonzalez,Female,1952-12-16,Married,Australia,2025-10-07
36,11035,AW00011035,Wendy,Dominguez,Female,1953-08-23,Married,Australia,2025-10-07
37,11036,AW00011036,Jennifer,Russell,Female,1984-06-16,Married,United States,2025-10-07
38,11037,AW00011037,Chloe,Garcia,Female,1983-05-27,Single,Canada,2025-10-07
39,11038,AW00011038,Diana,Hernandez,Female,1953-09-20,Married,Australia,2025-10-07
40,11039,AW00011039,Marc,Martin,Male,1954-06-16,Married,Australia,2025-10-07
41,11040,AW00011040,Jesse,Murphy,Male,1983-01-29,Married,United States,2025-10-07
